Date Range,Joy Count,Joy Words,Sadness Count,Sadness Words,Anger Count,Anger Words,Fear Count,Fear Words,Trust Count,Trust Words,Disgust Count,Disgust Words,Surprise Count,Surprise Words,Anticipation Count,Anticipation Words,Excitement Count,Excitement Words,Sentiment Label
saturday october 3 1942 to wednesday october 7 1942,8,"money, volunteer, tree, finally, mother, diary, pretty, silly",9,"dying, awful, horrors, cry, fall, sick, ill, mother, horror",10,"money, dying, awful, slap, threatening, force, tree, ill, dislike, horror",10,"dying, volunteer, awful, horrors, threatening, lines, force, ill, hide, horror",9,"money, ground, volunteer, frank, tree, finally, mother, diary, pretty",9,"dying, awful, threatening, tree, finally, ill, sick, dislike, horror",5,"money, slap, tree, finally, horror",9,"money, volunteer, coming, tree, finally, mother, thought, pretty, time",0,,Very Negative
wednesday october 7 1942 to wednesday october 14 1942,10,"money, good, young, generous, humanity, wonderful, cream, diary, white, true",19,"depressing, depart, horrors, death, fall, dismal, terrible, crippled, case, blue, impossible, ill, die, distraught, bad, prisoner, bomb, fatal, execution",14,"money, fatal, sneak, horrible, bad, death, prisoner, ill, grab, bomb, glaring, punishment, terrible, execution",18,"fatal, sneak, execution, horrors, die, horrible, case, bad, death, escape, prisoner, ill, hide, dismal, bomb, punishment, terrible, forced",14,"money, execution, good, school, leading, true, humanity, cap, wonderful, manage, generous, diary, white, innocent",10,"depressing, horrible, bad, death, prisoner, ill, punishment, dismal, toilet, terrible",8,"money, sneak, good, young, death, wonderful, cream, bomb",13,"money, daily, good, depart, young, cap, escape, death, await, cream, long, white, time",0,,Very Negative
wednesday october 14 1942 to tuesday october 20 1942,8,"green, good, fun, progress, friendly, mother, diary, found",5,"wretched, problem, awful, older, mother",5,"storm, lying, awful, furious, words",4,"mysterious, problem, awful, lines",12,"father, grammar, green, good, frank, friendly, fact, author, governess, mother, diary, found",5,"wretched, lying, awful, ugly, furious",2,"good, mysterious",8,"fun, good, mysterious, progress, friendly, mother, thought, time",0,,Very Positive
tuesday october 20 1942 to thursday october 29 1942,6,"fun, delicious, wonderful, glad, white, kind",6,"quiet, darkness, interrupted, unpleasant, dark, leave",3,"darkness, scare, fear",8,"fear, fire, stranger, hiding, darkness, warn, scare, shaking",12,"father, honor, fuse, fill, explain, wonderful, secret, usual, warn, white, kind, divan",1,unpleasant,5,"leave, wonderful, warn, scare, suddenly",9,"fun, coming, long, scare, glad, warn, thought, white, time",0,,Very Positive
thursday october 29 1942 to monday november 2 1942,5,"devout, good, lovely, mother, beautiful",8,"groan, worried, abandon, leave, lovely, moan, mother, measles",1,words,6,"hearing, abandon, moan, fever, measles, nervous",8,"father, devout, good, planning, fill, lovely, fairly, mother",2,"groan, measles",3,"lovely, leave, good",9,"devout, start, good, planning, tomorrow, lovely, mother, time, nervous",0,,Very Positive
monday november 2 1942 to thursday november 5 1942,8,"fun, love, affection, yearning, mother, diary, kind, special",5,"awful, bad, longing, mother, crazy",3,"crazy, bad, awful",4,"crazy, change, bad, awful",10,"father, trust, frank, important, affection, yearning, mother, diary, kind, innocent",2,"bad, awful",0,,8,"start, fun, wait, longing, long, yearning, time, mother",0,,Very Positive
thursday november 5 1942 to saturday november 7 1942,6,"sweetheart, happy, finally, mother, success, special",3,"mother, irritation, sweetheart",1,irritation,0,,6,"sweetheart, frank, happy, finally, mother, word",2,"irritation, finally",1,finally,5,"sweetheart, happy, finally, mother, success",0,,Very Positive
saturday november 7 1942 to tuesday november 10 1942,25,"comfort, god, happy, clown, weight, satisfied, mother, baby, pay, true, jump, optimism, beautiful, good, present, affection, beauty, child, surprise, feeling, darling, laughter, diary, food, deal",19,"falling, black, weight, mother, sarcasm, unable, ill, adrift, illness, broke, suffering, bottom, scold, cross, meaningless, feeling, despair, choke, ache",16,"choke, clash, contempt, feeling, vent, despair, carelessness, blame, ill, jealous, sarcasm, scold, attack, cross, injustice, confront",16,"flying, contempt, feeling, god, despair, ill, suffering, adrift, weight, broke, scold, stunned, attack, cross, surprise, illness",27,"comfort, god, happy, top, serve, weight, mother, pay, true, provide, optimism, advise, retain, good, present, intact, affection, secret, father, real, feeling, darling, deed, explain, diary, food, deal",11,"contempt, feeling, despair, carelessness, blame, ill, suffering, jealous, weight, scold, sarcasm",12,"feeling, good, clown, present, laughter, weight, optimism, differently, stunned, surprise, deal, judgment",20,"comfort, god, happy, clown, top, weight, patient, mother, pay, daily, coming, adrift, optimism, good, present, child, feeling, laughter, time, deal",0,,Very Positive
tuesday november 10 1942 to thursday november 12 1942,2,"food, excellent",4,"shell, worse, dreadful, quiet",2,"shell, dreadful",6,"worse, hiding, shell, afraid, dreadful, dangerous",5,"father, excellent, planning, fill, food",1,dreadful,1,shell,4,"thought, plan, dreadful, planning",0,,Very Negative
thursday november 12 1942 to tuesday november 17 1942,1,pleased,2,"dark, delay",1,delay,2,"hiding, delay",2,"father, accounts",1,delay,0,,4,"long, arrive, thought, wait",0,,Positive
tuesday november 17 1942 to thursday november 19 1942,12,"respect, advance, nap, music, civilized, classics, special, star, goodness, lovely, surprise, beautiful",8,"unable, dispossessed, quiet, music, lovely, rumor, remove, owing",4,"vermin, remove, dispossessed, owing",8,"vermin, dispossessed, escape, advance, surprise, remove, suspense, owing",13,"frank, prepared, management, civilized, star, secret, goodness, guide, truth, lovely, officer, owing, respect",2,"vermin, owing",5,"advance, goodness, lovely, surprise, suspense",19,"track, escape, star, immediately, daily, coming, lovely, thought, expecting, goodness, await, advance, respect, prepared, owing, production, time, suspense, correspondence",0,,Very Positive
thursday november 19 1942 to friday november 20 1942,6,"green, laugh, good, delighted, save, honest",12,"worried, sacrifices, crying, death, hell, sick, turmoil, suffering, honest, gray, slave, exhaustion",6,"bully, death, hell, turmoil, honest, slave",16,"bully, sacrifices, lines, frightened, death, military, escape, hell, hiding, change, turmoil, suffering, wicked, honest, stalk, slave",8,"father, green, good, ground, save, fact, honest, innocent",8,"sacrifices, death, hell, sick, suffering, honest, gray, toilet",8,"laugh, catch, good, delighted, frightened, death, sudden, surprised",10,"thought, good, delighted, death, escape, immediately, long, fate, time, exhaustion",0,,Very Negative
friday november 20 1942 to monday december 7 1942,11,"laughing, good, laugh, cheerful, feeling, young, finally, lucky, adore, mother, kind",18,"deserted, misery, feeling, gloom, crying, badly, bad, scarcity, dark, cry, suffering, bottom, unhappy, dreadful, mother, crazy, gloomy, wanting",12,"deserted, misery, feeling, riot, react, scarcity, bad, teasing, unhappy, dreadful, crazy, ungrateful",14,"deserted, misery, harm, feeling, avoid, riot, react, scarcity, bad, teasing, taboo, suffering, dreadful, crazy",18,"father, advise, calls, feeling, good, personal, count, center, law, finally, account, secret, adore, economy, usual, mother, kind, continue",11,"deserted, misery, feeling, bad, taboo, finally, suffering, unhappy, dreadful, gruesome, ungrateful",8,"feeling, good, laugh, cheerful, young, finally, lucky, differently",17,"calls, recipient, start, good, feeling, long, young, begun, finally, attempt, result, adore, dreadful, mother, thought, time, continue",0,,Very Negative
monday december 7 1942 to thursday december 10 1942,8,"money, fun, celebrated, good, wonderful, sing, gift, doll",3,"black, sing, darkness",2,"money, darkness",1,darkness,6,"father, money, good, cabinet, wonderful, sing",0,,5,"curiosity, money, good, wonderful, gift",9,"curiosity, money, fun, celebrated, good, sing, gift, long, time",0,,Very Positive
thursday december 10 1942 to sunday december 13 1942,9,"fun, sunshine, laughter, finally, mother, food, found, deal, delight",13,"wince, bothering, pain, case, concerned, bloody, broken, ill, victim, mother, rheumatism, remove, fat",12,"kicking, bothering, screaming, rheumatism, force, broken, ill, butcher, victim, wince, bloody, remove",15,"infection, screaming, pain, case, rheumatism, force, concerned, broken, ill, butcher, victim, wince, bloody, examination, remove",7,"ground, planning, finally, mother, food, deal, found",7,"screaming, finally, ill, butcher, wince, bloody, fat",5,"mouth, finally, laughter, examination, deal",12,"fun, coming, planning, audience, laughter, importance, finally, patient, mother, time, deal, delight",0,,Very Negative
sunday december 13 1942 to tuesday december 22 1942,3,"green, food, feeling",4,"feeling, grim, misfortune, fat",4,"politics, bark, feeling, grim",5,"rod, feeling, misfortune, change, grim",5,"rod, real, green, feeling, food",5,"feeling, dirty, slum, grim, fat",2,"feeling, trip",4,"tomorrow, neighborhood, feeling, grim",0,,Very Negative
tuesday december 22 1942 to wednesday january 13 1943,11,"receiving, clean, good, cheerful, delighted, dawn, peace, lucky, glad, mother, kind",6,"torment, black, ill, abandoned, mother, hanging",8,"revenge, lying, torment, pound, ill, disgusting, abandoned, hanging",9,"revenge, war, torment, government, hiding, ill, disgusting, abandoned, hanging",8,"clean, dawn, good, vigorous, peace, mother, constantly, kind",5,"lying, egotistical, ill, disgusting, hanging",7,"revenge, receiving, good, dawn, cheerful, delighted, lucky",10,"revenge, receiving, good, dawn, long, delighted, peace, glad, mother, time",0,,Positive
wednesday january 13 1943 to saturday january 30 1943,6,"money, safe, cash, shopping, food, kind",9,"helpless, bad, miserable, death, conflict, suffering, interrupted, terrible, beg",9,"money, fear, cash, selfish, bad, miserable, death, conflict, terrible",9,"war, fear, helpless, cash, bad, death, conflict, suffering, terrible",9,"money, school, safe, cash, fill, shopping, food, constantly, kind",7,"bad, selfish, miserable, death, suffering, terrible, soil",3,"money, death, shopping",8,"money, neighborhood, begun, cash, death, wait, shopping, time",0,,Very Negative
saturday january 30 1943 to friday february 5 1943,5,"laugh, god, treat, mother, child",11,"impossible, case, forgotten, cry, ill, treat, mocking, mother, leave, nasty, sympathy",11,"scream, rage, venomous, contempt, selfish, ill, treat, mocking, words, nasty, derision",12,"scream, contempt, venomous, cowardly, god, case, suspect, forgotten, ill, treat, nasty, shaking",4,"mother, god, father, treat",9,"scream, contempt, venomous, selfish, ill, treat, mocking, nasty, derision",5,"scream, laugh, treat, leave, suddenly",5,"long, god, treat, mother, child",0,,Very Negative
friday february 5 1943 to saturday february 27 1943,7,"laughing, entertaining, laugh, hilarity, young, elegant, mother",6,"danger, unable, quiet, misfortune, unpleasant, mother",3,"defense, words, tension",5,"danger, defense, misfortune, change, warn",6,"father, warn, fact, mother, mediate, sir",2,"toilet, unpleasant",3,"young, laugh, warn",9,"defense, entertaining, thought, long, young, wait, warn, mother, mediate",0,,Very Positive
saturday february 27 1943 to thursday march 4 1943,5,"champion, good, goodness, freedom, beautiful",3,"late, case, unfair",5,"fight, argument, words, unfair, invasion",4,"case, fight, afraid, pneumonia",9,"champion, father, good, secret, goodness, author, episcopal, freedom, fellow",2,"brothel, unfair",3,"guess, goodness, good",5,"champion, letter, good, expecting, goodness",0,,Very Positive
thursday march 4 1943 to wednesday march 10 1943,5,"money, good, food, pay, silly",2,"black, sick",5,"money, brimstone, bombardment, words, ridiculous",5,"brimstone, fire, hiding, bombardment, afraid",8,"money, father, good, ground, agreement, food, explain, pay",4,"sneeze, cough, sick, ridiculous",3,"money, sneeze, good",6,"money, good, coming, long, thought, pay",0,,Very Positive
wednesday march 10 1943 to friday march 12 1943,6,"dawn, fun, comfort, safe, mother, white",9,"awful, pain, impossible, bad, worse, uninvited, dark, fell, mother",6,"fear, awful, annoyance, bad, shock, shooting",12,"fear, awful, rat, fire, pain, frightened, bad, worse, shock, afraid, ghostly, shooting",7,"father, dawn, comfort, safe, secret, mother, white",4,"annoyance, bad, awful, rat",4,"shock, frightened, dawn, suddenly",8,"dawn, fun, comfort, wait, mother, thought, white, time",0,,Very Negative
friday march 12 1943 to thursday march 18 1943,8,"good, cheerful, emancipation, amuse, victor, honest, mother, food",8,"worn, black, sick, shortage, hell, honest, mother, terrible",6,"aggressor, politics, shortage, hell, honest, terrible",7,"war, aggressor, hiding, shortage, hell, honest, terrible",6,"good, frank, fact, honest, mother, food",4,"hell, sick, terrible, honest",2,"good, cheerful",6,"good, start, emancipation, mother, ultimately, time",0,,Very Negative
thursday march 18 1943 to friday march 19 1943,1,excitement,0,,0,,1,war,0,,0,,1,excitement,1,excitement,0,,Positive
friday march 19 1943 to thursday march 25 1943,6,"money, compensate, joy, proud, pay, kind",13,"disappoint, invalid, inferior, missing, terribly, lax, black, ill, pathetic, damages, wound, rumor, hideous",4,"money, disappoint, ill, wound",7,"war, missing, hiding, ill, wound, shaking, hideous",10,"money, provide, father, compensate, proud, show, proof, pay, teacher, kind",4,"ill, disappoint, pathetic, hideous",2,"money, compensate",9,"money, compensate, coming, proud, long, thought, pay, time, correspondence",0,,Very Negative
thursday march 25 1943 to saturday march 27 1943,8,"pleasant, laugh, safe, finally, excitement, mother, white, found",6,"danger, problem, quiet, falling, mother, mistake",4,"armed, kicking, tension, words",11,"danger, cautiously, problem, burglar, armed, suspense, police, jeopardy, warn, nervous, forced",13,"father, pleasant, safe, police, finally, warn, account, expect, fact, mother, white, agreed, found",5,"burglar, excrement, finally, cough, toilet",9,"incident, pleasant, laugh, finally, expect, excitement, warn, suspense, suddenly",15,"pleasant, thought, begun, suspense, finally, warn, importance, expect, jeopardy, excitement, mother, immediately, white, time, nervous",0,,Very Positive
saturday march 27 1943 to thursday april 1 1943,4,"labor, good, fancy, appreciation",4,"ill, sick, sabotage, neglected",3,"ill, sabotage, neglected",4,"ill, sabotage, fire, police",8,"exchange, good, labor, appreciation, important, top, police, county",5,"sabotage, neglected, ill, sick, nose",4,"labor, sabotage, good, mouth",5,"good, labor, top, fancy, time",0,,Positive
thursday april 1 1943 to friday april 2 1943,2,"merry, sunshine",8,"bothering, lie, surgery, agony, ulcer, hospital, fell, forgotten",6,"bout, fear, bothering, lie, agony, ulcer",8,"fear, surgery, agony, ulcer, hospital, flu, forgotten, shaking",5,"father, important, hospital, word, continue",3,"ulcer, stomach, lie",1,quote,4,"thought, time, quote, continue",0,,Very Negative
friday april 2 1943 to tuesday april 27 1943,4,"mother, love, feeling, pray",11,"feeling, cross, coldness, pain, cruel, unkind, reject, mother, sorrow, apologize, shrink",10,"feeling, lying, cruel, unkind, reject, angry, words, coldness, cross, cruelly",11,"feeling, cross, pray, pain, cruel, unkind, reject, coldness, sorrow, shrink, cruelly",8,"father, dare, feeling, pray, truth, mother, apologize, continue",6,"feeling, lying, cruel, unkind, angry, coldness",3,"feeling, pray, suddenly",7,"dare, feeling, pray, happen, mother, time, continue",0,,Very Negative
tuesday april 27 1943 to saturday may 1 1943,3,"mother, food, good",9,"beating, complain, bitterly, terrible, mad, bleeding, mother, destroyed, terrific",7,"invasion, beating, complain, bitterly, mad, terrible, destroyed",7,"trembling, beating, fire, terrible, mad, bleeding, destroyed",6,"father, good, top, mother, food, county",5,"stomach, bitterly, mad, bleeding, terrible",1,good,6,"daily, neighborhood, good, long, top, mother",0,,Very Negative
saturday may 1 1943 to sunday may 2 1943,8,"respect, excited, save, darling, chocolate, shopping, silly, found",4,"stingy, sick, badly, case",4,"stingy, martial, destruction, disgraceful",3,"stingy, case, flee",8,"respect, excited, save, darling, law, chocolate, shopping, found",5,"stomach, stingy, sick, sticky, disgraceful",2,"excited, shopping",5,"excited, chocolate, shopping, time, respect",0,,Very Positive
sunday may 2 1943 to sunday may 2 1943,4,"mother, clean, hope, respect",5,"sunk, worn, ill, mother, frayed",2,"ill, possession",5,"war, sunk, hiding, ill, possession",8,"father, respect, clean, cover, spotless, mother, hope, wear",4,"ill, sunk, possession, stomach",1,hope,4,"long, hope, mother, respect",0,,Neutral
sunday may 2 1943 to tuesday may 18 1943,7,"money, good, clean, beautiful, mother, hope, respect",8,"doubt, pain, sunk, worn, ill, mother, sorrow, frayed",8,"money, fear, contradict, ill, politics, possession, tension, ridiculous",12,"doubt, war, fear, pain, sunk, hiding, ill, hide, afraid, possession, sorrow, forced",21,"money, doubt, clean, law, account, mother, frank, count, gentleman, good, cover, word, hope, respect, father, optimist, wear, majesty, assure, spotless, general",5,"stomach, sunk, ill, possession, ridiculous",4,"money, good, hope, surprising",9,"money, good, expectation, mother, long, immediately, time, hope, respect",0,,Very Positive
tuesday may 18 1943 to sunday june 13 1943,11,"jump, spouse, labor, comfort, glow, welcomed, laughter, mother, youth, approve, child",7,"unable, trash, sympathize, death, injured, mother, penalty",7,"hot, death, carelessness, words, shooting, youth, penalty",7,"death, injured, obey, police, shooting, youth, penalty",14,"pilot, crew, official, conscience, spouse, labor, statement, glow, comfort, mother, obey, police, allied, approve",4,"garbage, death, carelessness, trash",5,"labor, death, laughter, youth, suddenly",10,"labor, comfort, glow, seek, death, laughter, mother, thought, youth, child",0,,Very Positive
sunday june 13 1943 to tuesday june 15 1943,7,"peace, treat, proud, favorite, birthday, lovely, food",6,"dispel, boredom, plight, treat, wasting, lovely",2,"treat, bear",5,"difficult, bear, plight, treat, wasting",10,"father, pill, peace, treat, proud, favorite, usual, lovely, food, wear",3,"treat, wasting, plight",3,"treat, lovely, birthday",7,"plight, peace, treat, proud, birthday, lovely, time",0,,Very Positive
